

				----* 171 x 171 Matrix *----


	  Iteration : 136264 | Best Fitness :   4103 | Optimum : 2755 


PATH:

97  117  119  124  135  138  139  140  141  131  115  104  113  164  127  126  125  136  147  137  146  145  144  143  142  152  14  13  17  168  72  61  66  65  88  153  154  89  90  91  71  38  39  40  156  34  35  31  32  158  36  157  33  155  41  42  46  47  48  51  59  68  67  167  70  87  96  120  121  122  129  128  130  132  133  134  6  10  76  20  21  22  23  24  15  159  16  37  75  11  12  18  77  78  82  79  80  81  0  111  110  83  84  50  49  170  73  74  19  29  30  28  27  26  25  150  149  148  161  160  151  7  8  9  2  1  3  4  5  169  112  116  118  163  98  95  94  92  166  108  60  52  53  43  44  45  55  54  58  57  63  64  56  62  69  85  86  93  165  99  100  101  123  162  102  103  114  109  107  106  105  


================================



  BAT 1 : 	4687  
  BAT 2 : 	5133  
  BAT 3 : 	5190  
  BAT 4 : 	5511  
  BAT 5 : 	4295  
  BAT 6 : 	4776  
  BAT 7 : 	4369  
  BAT 8 : 	5427  
  BAT 9 : 	5515  
  BAT 10 : 	4919  
  BAT 11 : 	5766  
  BAT 12 : 	4872  
  BAT 13 : 	5016  
  BAT 14 : 	5254  
  BAT 15 : 	5498  
  BAT 16 : 	5031  
  BAT 17 : 	5379  
  BAT 18 : 	5137  
  BAT 19 : 	4954  
  BAT 20 : 	5389  
  BAT 21 : 	5657  
  BAT 22 : 	5142  
  BAT 23 : 	5147  
  BAT 24 : 	4103  
  BAT 25 : 	5648  
  BAT 26 : 	5093  
  BAT 27 : 	5121  
  BAT 28 : 	4748  
  BAT 29 : 	4829  
  BAT 30 : 	4980  
  BAT 31 : 	5645  
  BAT 32 : 	5340  
  BAT 33 : 	5619  
  BAT 34 : 	4726  
  BAT 35 : 	4746  
  BAT 36 : 	4649  
  BAT 37 : 	5388  
  BAT 38 : 	5200  
  BAT 39 : 	5489  
  BAT 40 : 	5735  
  BAT 41 : 	4942  
  BAT 42 : 	5089  
