

				----* 171 x 171 Matrix *----


	  Iteration : 28980433 | Best Fitness :   3555 | Optimum : 2755 


PATH:

37  35  34  156  155  41  42  54  61  66  63  64  56  57  62  68  67  69  167  70  87  85  86  93  166  107  106  105  97  165  98  95  96  104  114  113  130  132  112  111  110  109  108  83  84  71  50  38  39  40  45  44  46  47  48  168  72  78  82  79  80  81  0  3  4  5  133  169  1  77  73  74  11  10  76  75  12  18  19  20  32  158  36  157  33  31  30  29  22  23  24  25  161  160  151  152  142  141  134  6  7  9  2  170  49  51  52  53  43  55  58  59  60  65  88  153  92  91  154  89  90  94  164  127  126  125  129  146  145  144  143  14  15  159  16  28  27  26  150  149  148  147  137  136  131  115  116  117  118  119  102  103  163  99  100  101  162  123  122  121  120  124  128  135  138  139  140  8  13  17  21  


================================



  BAT 1 : 	3891  
  BAT 2 : 	4129  
  BAT 3 : 	4516  
  BAT 4 : 	4197  
  BAT 5 : 	4360  
  BAT 6 : 	4030  
  BAT 7 : 	4045  
  BAT 8 : 	4605  
  BAT 9 : 	4337  
  BAT 10 : 	4383  
  BAT 11 : 	4348  
  BAT 12 : 	3555  
  BAT 13 : 	4337  
  BAT 14 : 	4207  
  BAT 15 : 	4197  
  BAT 16 : 	4184  
  BAT 17 : 	4115  
  BAT 18 : 	3762  
  BAT 19 : 	3831  
  BAT 20 : 	4019  
  BAT 21 : 	3770  
  BAT 22 : 	4027  
  BAT 23 : 	3843  
  BAT 24 : 	4117  
  BAT 25 : 	3972  
  BAT 26 : 	4086  
  BAT 27 : 	3561  
  BAT 28 : 	3809  
  BAT 29 : 	4122  
  BAT 30 : 	3893  
  BAT 31 : 	3695  
  BAT 32 : 	3868  
  BAT 33 : 	3893  
  BAT 34 : 	4087  
  BAT 35 : 	4535  
  BAT 36 : 	4131  
  BAT 37 : 	4077  
  BAT 38 : 	3710  
  BAT 39 : 	3668  
  BAT 40 : 	3696  
  BAT 41 : 	4257  
  BAT 42 : 	3719  
