

				----* 100 x 100 Matrix *----


	  Iteration : 796206 | Best Fitness :  39833 | Optimum : 36230 


PATH:

7  91  89  52  15  21  93  87  69  64  25  65  3  96  79  30  88  39  63  53  1  43  68  67  84  8  11  6  56  82  54  33  2  42  45  47  40  99  70  13  28  29  51  77  95  38  36  4  12  75  32  81  94  49  72  60  86  50  80  24  57  66  27  92  0  62  5  48  78  17  37  23  98  35  83  9  71  20  73  58  16  10  14  59  61  85  26  19  34  76  97  90  22  44  31  46  74  18  55  41  


================================



  BAT 1 : 	41782  
  BAT 2 : 	44337  
  BAT 3 : 	40425  
  BAT 4 : 	42181  
  BAT 5 : 	43532  
  BAT 6 : 	44560  
  BAT 7 : 	43866  
  BAT 8 : 	40790  
  BAT 9 : 	43604  
  BAT 10 : 	44645  
  BAT 11 : 	40246  
  BAT 12 : 	43165  
  BAT 13 : 	41948  
  BAT 14 : 	42005  
  BAT 15 : 	43206  
  BAT 16 : 	42333  
  BAT 17 : 	40719  
  BAT 18 : 	43661  
  BAT 19 : 	40713  
  BAT 20 : 	42104  
  BAT 21 : 	40018  
  BAT 22 : 	40908  
  BAT 23 : 	42021  
  BAT 24 : 	41480  
  BAT 25 : 	44453  
  BAT 26 : 	40792  
  BAT 27 : 	44741  
  BAT 28 : 	39917  
  BAT 29 : 	41818  
  BAT 30 : 	41703  
  BAT 31 : 	46732  
  BAT 32 : 	40496  
  BAT 33 : 	41452  
  BAT 34 : 	44569  
  BAT 35 : 	43618  
  BAT 36 : 	39833  
  BAT 37 : 	42726  
  BAT 38 : 	41768  
  BAT 39 : 	42659  
  BAT 40 : 	44173  
  BAT 41 : 	43168  
  BAT 42 : 	41983  
