

				----* 323 x 323 Matrix *----


	  Iteration : 272718 | Best Fitness :   1530 | Optimum : 1326 


PATH:

270  258  37  179  218  317  259  204  54  149  126  205  74  176  137  47  253  28  34  152  296  254  79  3  30  312  122  24  246  212  69  58  15  178  145  273  280  250  150  210  286  298  146  76  164  244  158  116  278  101  131  53  70  228  147  141  14  226  283  287  261  269  48  88  98  222  251  219  274  55  110  64  62  40  2  267  300  10  266  299  129  21  11  125  66  185  102  224  9  163  171  321  316  111  57  17  82  75  161  26  23  314  181  174  139  217  216  241  31  304  257  256  309  86  144  265  188  173  96  130  168  95  81  169  78  160  172  315  103  72  295  128  232  200  35  90  118  187  213  123  310  242  68  159  233  20  115  77  167  197  272  127  43  112  293  191  308  207  235  162  255  239  230  183  271  195  117  140  121  157  268  220  201  238  56  194  245  221  8  71  249  215  29  49  234  196  119  106  297  33  282  193  252  206  4  63  247  1  311  189  134  41  203  155  170  85  319  67  288  89  211  104  275  151  132  38  154  263  65  45  114  231  240  291  301  279  264  60  165  186  177  87  142  236  192  135  46  99  322  320  91  202  136  306  113  109  108  36  182  198  307  25  262  32  190  42  7  93  289  303  120  184  277  94  61  0  6  237  156  208  175  124  260  107  227  133  143  73  248  214  180  138  225  243  229  292  44  100  294  313  223  27  22  16  80  19  51  305  5  166  59  50  13  97  83  39  153  285  284  302  290  281  318  276  92  84  52  12  18  105  199  148  209  


================================



  BAT 1 : 	1638  
  BAT 2 : 	1674  
  BAT 3 : 	1715  
  BAT 4 : 	1648  
  BAT 5 : 	1648  
  BAT 6 : 	1715  
  BAT 7 : 	1643  
  BAT 8 : 	1654  
  BAT 9 : 	1685  
  BAT 10 : 	1559  
  BAT 11 : 	1565  
  BAT 12 : 	1660  
  BAT 13 : 	1701  
  BAT 14 : 	1789  
  BAT 15 : 	1714  
  BAT 16 : 	1708  
  BAT 17 : 	1668  
  BAT 18 : 	1762  
  BAT 19 : 	1786  
  BAT 20 : 	1748  
  BAT 21 : 	1654  
  BAT 22 : 	1714  
  BAT 23 : 	1781  
  BAT 24 : 	1750  
  BAT 25 : 	1530  
  BAT 26 : 	1680  
  BAT 27 : 	1663  
  BAT 28 : 	1637  
  BAT 29 : 	1691  
  BAT 30 : 	1743  
  BAT 31 : 	1641  
  BAT 32 : 	1722  
  BAT 33 : 	1702  
  BAT 34 : 	1550  
  BAT 35 : 	1642  
  BAT 36 : 	1669  
  BAT 37 : 	1682  
  BAT 38 : 	1558  
  BAT 39 : 	1592  
  BAT 40 : 	1741  
  BAT 41 : 	1649  
  BAT 42 : 	1679  
