

				----* Redefined ftv71 Matrix *----


( 100000000.000,  100000000,  100000000.000 ) ( 2.587,  3,  3.419 ) ( 4.535,  5,  5.179 ) ( 47.766,  48,  48.407 ) ( 47.789,  48,  48.322 ) ( 7.709,  8,  8.352 ) ( 7.754,  8,  8.305 ) ( 4.519,  5,  5.466 ) ( 4.646,  5,  5.387 ) ( 2.843,  3,  3.343 ) ( 2.893,  3,  3.197 ) ( -0.155,  0,  0.422 ) ( 2.837,  3,  3.260 ) ( 4.848,  5,  5.144 ) ( 7.500,  8,  8.187 ) ( 7.695,  8,  8.436 ) ( 4.655,  5,  5.218 ) 

( 2.645,  3,  3.310 ) ( 100000000.000,  100000000,  100000000.000 ) ( 2.783,  3,  3.409 ) ( 47.689,  48,  48.408 ) ( 47.740,  48,  48.457 ) ( 7.787,  8,  8.241 ) ( 7.577,  8,  8.468 ) ( 4.872,  5,  5.480 ) ( 4.690,  5,  5.134 ) ( -0.177,  0,  0.365 ) ( -0.456,  0,  0.240 ) ( 2.874,  3,  3.108 ) ( -0.283,  0,  0.125 ) ( 2.805,  3,  3.488 ) ( 7.539,  8,  8.440 ) ( 7.793,  8,  8.316 ) ( 4.750,  5,  5.404 ) 

( 4.695,  5,  5.367 ) ( 2.687,  3,  3.116 ) ( 100000000.000,  100000000,  100000000.000 ) ( 71.528,  72,  72.388 ) ( 71.786,  72,  72.395 ) ( 47.644,  48,  48.242 ) ( 47.625,  48,  48.166 ) ( 23.724,  24,  24.452 ) ( 23.568,  24,  24.232 ) ( 2.808,  3,  3.457 ) ( 2.760,  3,  3.375 ) ( 4.517,  5,  5.335 ) ( 2.637,  3,  3.443 ) ( -0.276,  0,  0.470 ) ( 47.741,  48,  48.426 ) ( 47.626,  48,  48.464 ) ( 23.707,  24,  24.186 ) 

( 47.520,  48,  48.468 ) ( 47.841,  48,  48.452 ) ( 73.644,  74,  74.273 ) ( 100000000.000,  100000000,  100000000.000 ) ( -0.414,  0,  0.223 ) ( 5.721,  6,  6.190 ) ( 5.825,  6,  6.210 ) ( 11.677,  12,  12.267 ) ( 11.832,  12,  12.463 ) ( 47.859,  48,  48.150 ) ( 47.702,  48,  48.404 ) ( 47.506,  48,  48.474 ) ( 47.626,  48,  48.253 ) ( 73.600,  74,  74.247 ) ( 5.782,  6,  6.193 ) ( 5.666,  6,  6.198 ) ( 11.839,  12,  12.393 ) 

( 47.850,  48,  48.417 ) ( 47.834,  48,  48.398 ) ( 73.870,  74,  74.480 ) ( -0.121,  0,  0.309 ) ( 100000000.000,  100000000,  100000000.000 ) ( 5.581,  6,  6.393 ) ( 5.637,  6,  6.487 ) ( 11.644,  12,  12.404 ) ( 11.863,  12,  12.154 ) ( 47.692,  48,  48.131 ) ( 47.872,  48,  48.182 ) ( 47.715,  48,  48.428 ) ( 47.671,  48,  48.402 ) ( 73.879,  74,  74.163 ) ( 5.500,  6,  6.182 ) ( 5.544,  6,  6.150 ) ( 11.501,  12,  12.122 ) 

