

				----* Redefined ftv71 Matrix *----


( 100000000.000,  100000000,  100000000.000 ) ( 25.587,  26,  26.419 ) ( 81.535,  82,  82.179 ) ( 64.766,  65,  65.407 ) ( 99.789,  100,  100.322 ) ( 146.709,  147,  147.352 ) ( 133.754,  134,  134.305 ) ( 68.519,  69,  69.466 ) ( 116.646,  117,  117.387 ) ( 41.843,  42,  42.343 ) ( 88.893,  89,  89.197 ) ( 124.845,  125,  125.422 ) ( 37.837,  38,  38.260 ) ( 12.848,  13,  13.144 ) ( 37.500,  38,  38.187 ) ( 30.695,  31,  31.436 ) ( 21.655,  22,  22.218 ) ( 102.645,  103,  103.310 ) ( 142.703,  143,  143.489 ) ( 93.783,  94,  94.409 ) ( 103.689,  104,  104.408 ) ( 122.740,  123,  123.457 ) ( 97.787,  98,  98.241 ) ( 57.577,  58,  58.468 ) ( 37.872,  38,  38.480 ) ( 29.690,  30,  30.134 ) ( 66.823,  67,  67.365 ) ( 119.544,  120,  120.240 ) ( 148.874,  149,  149.108 ) ( 99.717,  100,  100.125 ) ( 92.805,  93,  93.488 ) ( 161.539,  162,  162.440 ) ( 61.793,  62,  62.316 ) ( 65.750,  66,  66.404 ) 

( 65.695,  66,  66.367 ) ( 100000000.000,  100000000,  100000000.000 ) ( 55.725,  56,  56.473 ) ( 38.528,  39,  39.388 ) ( 108.786,  109,  109.395 ) ( 155.644,  156,  156.242 ) ( 139.625,  140,  140.166 ) ( 134.724,  135,  135.452 ) ( 182.568,  183,  183.232 ) ( 107.808,  108,  108.457 ) ( 154.760,  155,  155.375 ) ( 189.517,  190,  190.335 ) ( 103.637,  104,  104.443 ) ( 78.724,  79,  79.470 ) ( 103.741,  104,  104.426 ) ( 96.626,  97,  97.464 ) ( 87.707,  88,  88.186 ) ( 129.520,  130,  130.468 ) ( 175.841,  176,  176.452 ) ( 120.644,  121,  121.273 ) ( 130.652,  131,  131.212 ) ( 149.586,  150,  150.223 ) ( 124.721,  125,  125.190 ) ( 84.825,  85,  85.210 ) ( 64.677,  65,  65.267 ) ( 56.832,  57,  57.463 ) ( 93.859,  94,  94.150 ) ( 146.702,  147,  147.404 ) ( 159.506,  160,  160.474 ) ( 79.626,  80,  80.253 ) ( 66.600,  67,  67.247 ) ( 188.782,  189,  189.193 ) ( 127.666,  128,  128.198 ) ( 39.839,  40,  40.393 ) 

( 42.850,  43,  43.417 ) ( 56.834,  57,  57.398 ) ( 100000000.000,  100000000,  100000000.000 ) ( 15.879,  16,  16.309 ) ( 52.830,  53,  53.196 ) ( 99.581,  100,  100.393 ) ( 83.637,  84,  84.487 ) ( 106.644,  107,  107.404 ) ( 154.863,  155,  155.154 ) ( 84.692,  85,  85.131 ) ( 131.872,  132,  132.182 ) ( 167.715,  168,  168.428 ) ( 80.671,  81,  81.402 ) ( 55.879,  56,  56.163 ) ( 80.500,  81,  81.182 ) ( 73.544,  74,  74.150 ) ( 64.501,  65,  65.122 ) ( 145.552,  146,  146.129 ) ( 185.898,  186,  186.469 ) ( 136.662,  137,  137.172 ) ( 146.835,  147,  147.257 ) ( 165.535,  166,  166.428 ) ( 140.756,  141,  141.321 ) ( 100.668,  101,  101.281 ) ( 80.625,  81,  81.140 ) ( 72.688,  73,  73.403 ) ( 109.778,  110,  110.497 ) ( 162.669,  163,  163.451 ) ( 163.601,  164,  164.352 ) ( 101.886,  102,  102.399 ) ( 70.567,  71,  71.470 ) ( 204.551,  205,  205.432 ) ( 104.508,  105,  105.398 ) ( 61.539,  62,  62.493 ) 

( 26.633,  27,  27.299 ) ( 40.834,  41,  41.432 ) ( 61.544,  62,  62.131 ) ( 100000000.000,  100000000,  100000000.000 ) ( 96.648,  97,  97.192 ) ( 143.620,  144,  144.227 ) ( 130.768,  131,  131.193 ) ( 95.870,  96,  96.353 ) ( 143.811,  144,  144.360 ) ( 68.696,  69,  69.489 ) ( 115.788,  116,  116.318 ) ( 151.612,  152,  152.145 ) ( 64.711,  65,  65.337 ) ( 39.522,  40,  40.280 ) ( 64.765,  65,  65.439 ) ( 57.726,  58,  58.101 ) ( 48.762,  49,  49.339 ) ( 129.567,  130,  130.194 ) ( 169.630,  170,  170.293 ) ( 120.707,  121,  121.222 ) ( 130.615,  131,  131.173 ) ( 149.651,  150,  150.116 ) ( 124.734,  125,  125.378 ) ( 84.630,  85,  85.355 ) ( 64.761,  65,  65.174 ) ( 56.656,  57,  57.351 ) ( 93.608,  94,  94.231 ) ( 146.604,  147,  147.181 ) ( 165.532,  166,  166.374 ) ( 85.639,  86,  86.203 ) ( 72.687,  73,  73.135 ) ( 188.796,  189,  189.451 ) ( 88.626,  89,  89.137 ) ( 45.855,  46,  46.245 ) 

( 108.669,  109,  109.337 ) ( 134.633,  135,  135.216 ) ( 160.590,  161,  161.215 ) ( 173.768,  174,  174.176 ) ( 100000000.000,  100000000,  100000000.000 ) ( 46.569,  47,  47.233 ) ( 33.825,  34,  34.275 ) ( 53.517,  54,  54.468 ) ( 101.594,  102,  102.380 ) ( 66.852,  67,  67.374 ) ( 113.746,  114,  114.410 ) ( 174.523,  175,  175.467 ) ( 96.555,  97,  97.181 ) ( 95.583,  96,  96.319 ) ( 127.781,  128,  128.462 ) ( 134.536,  135,  135.450 ) ( 130.701,  131,  131.330 ) ( 197.835,  198,  198.210 ) ( 192.554,  193,  193.297 ) ( 202.715,  203,  203.440 ) ( 212.702,  213,  213.216 ) ( 231.828,  232,  232.374 ) ( 206.609,  207,  207.156 ) ( 166.659,  167,  167.297 ) ( 146.565,  147,  147.390 ) ( 138.829,  139,  139.189 ) ( 175.701,  176,  176.148 ) ( 228.845,  229,  229.244 ) ( 221.770,  222,  222.473 ) ( 203.537,  204,  204.349 ) ( 147.565,  148,  148.427 ) ( 234.702,  235,  235.234 ) ( 59.742,  60,  60.364 ) ( 174.656,  175,  175.204 ) 

