

				----* 34 x 34 Matrix *----


	  Iteration :   1167 | Best Fitness : 1324.598 | Optimum : 1286 


PATH:

19  20  21  31  18  17  11  8  10  9  32  7  4  6  5  30  33  2  3  0  13  12  14  15  16  1  25  26  27  28  29  22  24  23  


================================



  BAT 1 : 	1551.488  
  BAT 2 : 	1331.197  
  BAT 3 : 	1417.318  
  BAT 4 : 	1378.572  
  BAT 5 : 	1439.569  
  BAT 6 : 	1492.661  
  BAT 7 : 	1464.447  
  BAT 8 : 	1483.215  
  BAT 9 : 	1491.460  
  BAT 10 : 	1648.298  
  BAT 11 : 	1490.611  
  BAT 12 : 	1397.460  
  BAT 13 : 	1516.428  
  BAT 14 : 	1462.675  
  BAT 15 : 	1525.861  
  BAT 16 : 	1471.487  
  BAT 17 : 	1402.752  
  BAT 18 : 	1422.815  
  BAT 19 : 	1423.597  
  BAT 20 : 	1438.478  
  BAT 21 : 	1537.093  
  BAT 22 : 	1405.345  
  BAT 23 : 	1396.551  
  BAT 24 : 	1436.246  
  BAT 25 : 	1432.394  
  BAT 26 : 	1628.323  
  BAT 27 : 	1424.514  
  BAT 28 : 	1415.378  
  BAT 29 : 	1390.168  
  BAT 30 : 	1437.734  
  BAT 31 : 	1439.354  
  BAT 32 : 	1484.505  
  BAT 33 : 	1473.622  
  BAT 34 : 	1324.598  
  BAT 35 : 	1379.521  
  BAT 36 : 	1485.218  
  BAT 37 : 	1488.504  
  BAT 38 : 	1523.432  
  BAT 39 : 	1404.574  
  BAT 40 : 	1382.673  
  BAT 41 : 	1334.493  
  BAT 42 : 	1433.592  
