

				----* 45 x 45 Matrix *----


	  Iteration :    758 | Best Fitness : 1851.098 | Optimum : 1613 


PATH:

9  8  41  6  39  40  34  36  37  44  3  4  5  2  38  35  32  1  0  21  31  30  29  33  27  28  25  26  42  23  24  22  18  16  17  14  43  10  11  12  13  15  19  20  7  


================================



  BAT 1 : 	2036.397  
  BAT 2 : 	2096.287  
  BAT 3 : 	2162.141  
  BAT 4 : 	2102.836  
  BAT 5 : 	2018.759  
  BAT 6 : 	2366.727  
  BAT 7 : 	1961.694  
  BAT 8 : 	2148.350  
  BAT 9 : 	2002.581  
  BAT 10 : 	2195.002  
  BAT 11 : 	1939.498  
  BAT 12 : 	1949.532  
  BAT 13 : 	1960.781  
  BAT 14 : 	1957.266  
  BAT 15 : 	2079.107  
  BAT 16 : 	2029.202  
  BAT 17 : 	2080.146  
  BAT 18 : 	2073.741  
  BAT 19 : 	2010.152  
  BAT 20 : 	1963.136  
  BAT 21 : 	1966.406  
  BAT 22 : 	1945.696  
  BAT 23 : 	1977.199  
  BAT 24 : 	1983.140  
  BAT 25 : 	1976.429  
  BAT 26 : 	2188.804  
  BAT 27 : 	1936.962  
  BAT 28 : 	1913.265  
  BAT 29 : 	1960.699  
  BAT 30 : 	2028.335  
  BAT 31 : 	2061.441  
  BAT 32 : 	2034.959  
  BAT 33 : 	2009.106  
  BAT 34 : 	1987.741  
  BAT 35 : 	2048.097  
  BAT 36 : 	1920.257  
  BAT 37 : 	2025.559  
  BAT 38 : 	2113.803  
  BAT 39 : 	2273.285  
  BAT 40 : 	2137.069  
  BAT 41 : 	1851.098  
  BAT 42 : 	1986.250  
