

				----* Redefined ftv33 Matrix *----


( 100000000.000,  100000000,  100000000.000 ) ( 25.823,  26,  26.423 ) ( 81.666,  82,  82.292 ) ( 64.760,  65,  65.458 ) ( 99.571,  100,  100.399 ) ( 146.830,  147,  147.444 ) ( 133.616,  134,  134.305 ) ( 68.778,  69,  69.106 ) ( 116.863,  117,  117.246 ) ( 41.841,  42,  42.166 ) ( 88.505,  89,  89.278 ) ( 124.852,  125,  125.102 ) ( 37.896,  38,  38.251 ) ( 12.687,  13,  13.328 ) ( 37.659,  38,  38.343 ) ( 30.834,  31,  31.365 ) ( 21.720,  22,  22.241 ) ( 102.877,  103,  103.343 ) ( 142.587,  143,  143.421 ) ( 93.692,  94,  94.221 ) ( 103.550,  104,  104.391 ) ( 122.518,  123,  123.470 ) ( 97.684,  98,  98.157 ) ( 57.715,  58,  58.194 ) ( 37.555,  38,  38.184 ) ( 29.588,  30,  30.437 ) ( 66.501,  67,  67.500 ) ( 119.655,  120,  120.257 ) ( 148.794,  149,  149.219 ) ( 99.564,  100,  100.109 ) ( 92.750,  93,  93.137 ) ( 161.629,  162,  162.122 ) ( 61.896,  62,  62.468 ) ( 65.790,  66,  66.209 ) 

( 65.665,  66,  66.376 ) ( 100000000.000,  100000000,  100000000.000 ) ( 55.706,  56,  56.182 ) ( 38.603,  39,  39.287 ) ( 108.717,  109,  109.480 ) ( 155.602,  156,  156.143 ) ( 139.660,  140,  140.254 ) ( 134.606,  135,  135.344 ) ( 182.671,  183,  183.245 ) ( 107.839,  108,  108.190 ) ( 154.730,  155,  155.421 ) ( 189.693,  190,  190.496 ) ( 103.599,  104,  104.238 ) ( 78.832,  79,  79.363 ) ( 103.703,  104,  104.125 ) ( 96.620,  97,  97.302 ) ( 87.841,  88,  88.480 ) ( 129.843,  130,  130.462 ) ( 175.623,  176,  176.221 ) ( 120.729,  121,  121.128 ) ( 130.513,  131,  131.373 ) ( 149.839,  150,  150.451 ) ( 124.571,  125,  125.333 ) ( 84.823,  85,  85.171 ) ( 64.573,  65,  65.290 ) ( 56.838,  57,  57.302 ) ( 93.607,  94,  94.262 ) ( 146.788,  147,  147.327 ) ( 159.627,  160,  160.402 ) ( 79.611,  80,  80.290 ) ( 66.851,  67,  67.247 ) ( 188.566,  189,  189.114 ) ( 127.693,  128,  128.365 ) ( 39.730,  40,  40.142 ) 

( 42.520,  43,  43.469 ) ( 56.680,  57,  57.238 ) ( 100000000.000,  100000000,  100000000.000 ) ( 15.561,  16,  16.227 ) ( 52.718,  53,  53.209 ) ( 99.507,  100,  100.219 ) ( 83.604,  84,  84.327 ) ( 106.822,  107,  107.405 ) ( 154.564,  155,  155.259 ) ( 84.700,  85,  85.456 ) ( 131.889,  132,  132.498 ) ( 167.671,  168,  168.120 ) ( 80.687,  81,  81.178 ) ( 55.563,  56,  56.351 ) ( 80.637,  81,  81.179 ) ( 73.563,  74,  74.149 ) ( 64.856,  65,  65.397 ) ( 145.774,  146,  146.476 ) ( 185.786,  186,  186.235 ) ( 136.844,  137,  137.393 ) ( 146.566,  147,  147.383 ) ( 165.660,  166,  166.399 ) ( 140.799,  141,  141.158 ) ( 100.899,  101,  101.124 ) ( 80.578,  81,  81.441 ) ( 72.816,  73,  73.146 ) ( 109.679,  110,  110.106 ) ( 162.854,  163,  163.282 ) ( 163.599,  164,  164.374 ) ( 101.683,  102,  102.130 ) ( 70.725,  71,  71.181 ) ( 204.622,  205,  205.216 ) ( 104.725,  105,  105.193 ) ( 61.669,  62,  62.313 ) 

( 26.649,  27,  27.164 ) ( 40.698,  41,  41.485 ) ( 61.622,  62,  62.470 ) ( 100000000.000,  100000000,  100000000.000 ) ( 96.829,  97,  97.498 ) ( 143.717,  144,  144.499 ) ( 130.861,  131,  131.350 ) ( 95.862,  96,  96.275 ) ( 143.527,  144,  144.119 ) ( 68.542,  69,  69.216 ) ( 115.809,  116,  116.408 ) ( 151.736,  152,  152.181 ) ( 64.649,  65,  65.342 ) ( 39.719,  40,  40.287 ) ( 64.661,  65,  65.354 ) ( 57.558,  58,  58.432 ) ( 48.650,  49,  49.388 ) ( 129.674,  130,  130.250 ) ( 169.826,  170,  170.395 ) ( 120.678,  121,  121.462 ) ( 130.803,  131,  131.176 ) ( 149.658,  150,  150.379 ) ( 124.666,  125,  125.241 ) ( 84.702,  85,  85.132 ) ( 64.604,  65,  65.345 ) ( 56.652,  57,  57.376 ) ( 93.578,  94,  94.160 ) ( 146.670,  147,  147.447 ) ( 165.535,  166,  166.346 ) ( 85.609,  86,  86.117 ) ( 72.633,  73,  73.491 ) ( 188.774,  189,  189.328 ) ( 88.778,  89,  89.170 ) ( 45.857,  46,  46.448 ) 

( 108.560,  109,  109.398 ) ( 134.838,  135,  135.231 ) ( 160.868,  161,  161.131 ) ( 173.644,  174,  174.428 ) ( 100000000.000,  100000000,  100000000.000 ) ( 46.736,  47,  47.219 ) ( 33.714,  34,  34.300 ) ( 53.839,  54,  54.229 ) ( 101.605,  102,  102.226 ) ( 66.569,  67,  67.484 ) ( 113.551,  114,  114.390 ) ( 174.780,  175,  175.478 ) ( 96.849,  97,  97.126 ) ( 95.586,  96,  96.310 ) ( 127.656,  128,  128.482 ) ( 134.871,  135,  135.450 ) ( 130.638,  131,  131.229 ) ( 197.858,  198,  198.302 ) ( 192.809,  193,  193.216 ) ( 202.532,  203,  203.320 ) ( 212.635,  213,  213.146 ) ( 231.703,  232,  232.252 ) ( 206.701,  207,  207.417 ) ( 166.696,  167,  167.253 ) ( 146.625,  147,  147.313 ) ( 138.657,  139,  139.258 ) ( 175.898,  176,  176.383 ) ( 228.860,  229,  229.349 ) ( 221.555,  222,  222.297 ) ( 203.601,  204,  204.299 ) ( 147.748,  148,  148.414 ) ( 234.679,  235,  235.243 ) ( 59.518,  60,  60.352 ) ( 174.829,  175,  175.250 ) 

