

				----* 34 x 34 Matrix *----


	  Iteration :   4997 | Best Fitness : 1285.805 | Optimum : 1286 


PATH:

28  29  22  20  21  31  18  19  17  11  8  10  9  32  7  4  6  5  30  33  2  3  0  13  12  14  15  16  1  25  24  23  26  27  


================================



  BAT 1 : 	1438.786  
  BAT 2 : 	1285.805  
  BAT 3 : 	1546.527  
  BAT 4 : 	1465.532  
  BAT 5 : 	1416.019  
  BAT 6 : 	1336.101  
  BAT 7 : 	1361.951  
  BAT 8 : 	1440.505  
  BAT 9 : 	1402.846  
  BAT 10 : 	1390.654  
  BAT 11 : 	1323.882  
  BAT 12 : 	1443.772  
  BAT 13 : 	1425.817  
  BAT 14 : 	1408.952  
  BAT 15 : 	1439.040  
  BAT 16 : 	1486.967  
  BAT 17 : 	1334.017  
  BAT 18 : 	1498.609  
  BAT 19 : 	1424.063  
  BAT 20 : 	1428.712  
  BAT 21 : 	1377.629  
  BAT 22 : 	1519.895  
  BAT 23 : 	1337.790  
  BAT 24 : 	1413.174  
  BAT 25 : 	1477.648  
  BAT 26 : 	1452.141  
  BAT 27 : 	1382.989  
  BAT 28 : 	1444.569  
  BAT 29 : 	1374.644  
  BAT 30 : 	1364.093  
  BAT 31 : 	1492.266  
  BAT 32 : 	1430.021  
  BAT 33 : 	1352.196  
  BAT 34 : 	1461.914  
  BAT 35 : 	1396.976  
  BAT 36 : 	1389.019  
  BAT 37 : 	1493.677  
  BAT 38 : 	1488.708  
  BAT 39 : 	1400.219  
  BAT 40 : 	1500.045  
  BAT 41 : 	1421.916  
  BAT 42 : 	1460.779  
  BAT 43 : 	1330.028  
  BAT 44 : 	1508.082  
  BAT 45 : 	1348.646  
  BAT 46 : 	1408.709  
  BAT 47 : 	1398.015  
  BAT 48 : 	1442.019  
  BAT 49 : 	1437.908  
  BAT 50 : 	1405.824  
