

				----* 45 x 45 Matrix *----


	  Iteration :  49924 | Best Fitness : 1695.369 | Optimum : 1613 


PATH:

14  20  8  9  7  10  43  11  12  13  15  19  21  1  2  44  39  40  41  6  35  32  28  25  26  27  33  34  36  37  38  3  4  5  0  31  30  29  24  42  23  22  18  16  17  


================================



  BAT 1 : 	1819.472  
  BAT 2 : 	1871.647  
  BAT 3 : 	1882.381  
  BAT 4 : 	1783.296  
  BAT 5 : 	1695.369  
  BAT 6 : 	1849.343  
  BAT 7 : 	1798.156  
  BAT 8 : 	1781.575  
  BAT 9 : 	1787.328  
  BAT 10 : 	1742.429  
  BAT 11 : 	1755.516  
  BAT 12 : 	1911.093  
  BAT 13 : 	1796.517  
  BAT 14 : 	1869.973  
  BAT 15 : 	1811.531  
  BAT 16 : 	1845.035  
  BAT 17 : 	1715.610  
  BAT 18 : 	1761.318  
  BAT 19 : 	1824.207  
  BAT 20 : 	1766.686  
  BAT 21 : 	1812.698  
  BAT 22 : 	1752.403  
  BAT 23 : 	1911.046  
  BAT 24 : 	1722.516  
  BAT 25 : 	1751.777  
  BAT 26 : 	1851.631  
  BAT 27 : 	1785.458  
  BAT 28 : 	1719.290  
  BAT 29 : 	1770.396  
  BAT 30 : 	1839.423  
  BAT 31 : 	1788.260  
  BAT 32 : 	1717.359  
  BAT 33 : 	1805.695  
  BAT 34 : 	1762.380  
  BAT 35 : 	1991.055  
  BAT 36 : 	1862.674  
  BAT 37 : 	1701.619  
  BAT 38 : 	1806.244  
  BAT 39 : 	1875.333  
  BAT 40 : 	1964.075  
  BAT 41 : 	1820.299  
  BAT 42 : 	1702.418  
  BAT 43 : 	1750.490  
  BAT 44 : 	1839.949  
  BAT 45 : 	1970.387  
  BAT 46 : 	1933.371  
  BAT 47 : 	1861.343  
  BAT 48 : 	1737.176  
  BAT 49 : 	1800.027  
  BAT 50 : 	1875.534  
