

				----* 71 x 71 Matrix *----


	  Iteration : 933257 | Best Fitness : 2061.866 | Optimum : 1950 


PATH:

56  4  5  0  28  29  30  31  65  1  2  70  3  59  8  7  9  13  64  17  66  14  12  15  16  18  19  20  21  22  23  60  33  35  34  32  26  24  25  27  6  11  10  58  61  57  52  53  45  44  43  42  69  41  38  36  37  63  40  68  46  62  54  51  50  67  49  47  39  48  55  


================================



  BAT 1 : 	2226.511  
  BAT 2 : 	2212.431  
  BAT 3 : 	2161.007  
  BAT 4 : 	2131.623  
  BAT 5 : 	2109.655  
  BAT 6 : 	2316.252  
  BAT 7 : 	2122.893  
  BAT 8 : 	2167.708  
  BAT 9 : 	2190.748  
  BAT 10 : 	2140.571  
  BAT 11 : 	2245.165  
  BAT 12 : 	2275.659  
  BAT 13 : 	2312.179  
  BAT 14 : 	2295.842  
  BAT 15 : 	2061.866  
  BAT 16 : 	2121.719  
  BAT 17 : 	2262.759  
  BAT 18 : 	2271.103  
  BAT 19 : 	2334.889  
  BAT 20 : 	2167.619  
  BAT 21 : 	2104.348  
  BAT 22 : 	2269.582  
  BAT 23 : 	2397.696  
  BAT 24 : 	2326.984  
  BAT 25 : 	2364.492  
  BAT 26 : 	2247.560  
  BAT 27 : 	2191.429  
  BAT 28 : 	2295.402  
  BAT 29 : 	2175.987  
  BAT 30 : 	2269.336  
  BAT 31 : 	2270.736  
  BAT 32 : 	2411.805  
  BAT 33 : 	2245.861  
  BAT 34 : 	2346.476  
  BAT 35 : 	2175.106  
  BAT 36 : 	2167.800  
  BAT 37 : 	2255.687  
  BAT 38 : 	2380.812  
  BAT 39 : 	2086.698  
  BAT 40 : 	2243.081  
  BAT 41 : 	2166.073  
  BAT 42 : 	2166.622  
  BAT 43 : 	2169.873  
  BAT 44 : 	2170.210  
  BAT 45 : 	2138.929  
  BAT 46 : 	2133.457  
  BAT 47 : 	2328.839  
  BAT 48 : 	2212.504  
  BAT 49 : 	2221.415  
  BAT 50 : 	2260.430  
