

				----* Random 100 DIMENSION Matrix *----


( 5.883,  6,  6.443 ) ( 8.820,  9,  9.242 ) ( 7.762,  8,  8.370 ) ( 5.545,  6,  6.410 ) ( 9.572,  10,  10.328 ) ( 5.813,  6,  6.252 ) ( 8.887,  9,  9.452 ) ( 4.803,  5,  5.439 ) ( 7.773,  8,  8.302 ) ( 5.748,  6,  6.391 ) ( 6.855,  7,  7.128 ) ( 5.554,  6,  6.396 ) ( 6.714,  7,  7.332 ) ( 5.657,  6,  6.217 ) ( 9.543,  10,  10.492 ) ( 8.827,  9,  9.473 ) ( 4.565,  5,  5.252 ) ( 4.785,  5,  5.173 ) ( 8.878,  9,  9.170 ) ( 8.517,  9,  9.450 ) ( 9.602,  10,  10.170 ) ( 6.798,  7,  7.411 ) ( 7.878,  8,  8.299 ) ( 7.650,  8,  8.248 ) ( 6.899,  7,  7.103 ) ( 6.861,  7,  7.146 ) ( 6.870,  7,  7.485 ) ( 5.558,  6,  6.316 ) ( 5.683,  6,  6.285 ) ( 5.567,  6,  6.273 ) ( 9.723,  10,  10.106 ) ( 4.753,  5,  5.211 ) ( 4.742,  5,  5.362 ) ( 4.716,  5,  5.280 ) ( 9.569,  10,  10.267 ) ( 7.770,  8,  8.329 ) ( 5.663,  6,  6.332 ) ( 8.760,  9,  9.359 ) ( 5.869,  6,  6.490 ) ( 8.893,  9,  9.132 ) ( 7.507,  8,  8.146 ) ( 7.822,  8,  8.123 ) ( 7.869,  8,  8.120 ) ( 9.661,  10,  10.348 ) ( 6.695,  7,  7.272 ) ( 5.879,  6,  6.482 ) ( 6.723,  7,  7.268 ) ( 6.807,  7,  7.435 ) ( 9.871,  10,  10.377 ) ( 4.785,  5,  5.461 ) ( 9.855,  10,  10.344 ) ( 8.710,  9,  9.382 ) ( 5.824,  6,  6.429 ) ( 6.759,  7,  7.207 ) ( 6.580,  7,  7.248 ) ( 7.761,  8,  8.412 ) ( 6.706,  7,  7.317 ) ( 6.565,  7,  7.325 ) ( 8.663,  9,  9.274 ) ( 5.828,  6,  6.142 ) ( 7.554,  8,  8.193 ) ( 7.877,  8,  8.223 ) ( 6.639,  7,  7.216 ) ( 7.842,  8,  8.390 ) ( 6.507,  7,  7.273 ) ( 9.650,  10,  10.138 ) ( 8.883,  9,  9.140 ) ( 7.580,  8,  8.194 ) ( 5.530,  6,  6.161 ) ( 9.699,  10,  10.389 ) ( 4.691,  5,  5.440 ) ( 7.699,  8,  8.103 ) ( 4.743,  5,  5.236 ) ( 7.673,  8,  8.494 ) ( 6.590,  7,  7.399 ) ( 7.865,  8,  8.356 ) ( 6.508,  7,  7.159 ) ( 6.521,  7,  7.353 ) ( 7.725,  8,  8.137 ) ( 6.757,  7,  7.268 ) ( 5.690,  6,  6.493 ) ( 4.694,  5,  5.327 ) ( 4.867,  5,  5.226 ) ( 6.580,  7,  7.103 ) ( 6.714,  7,  7.221 ) ( 4.608,  5,  5.495 ) ( 7.839,  8,  8.193 ) ( 9.502,  10,  10.318 ) ( 6.670,  7,  7.325 ) ( 5.688,  6,  6.240 ) ( 4.776,  5,  5.347 ) ( 4.504,  5,  5.217 ) ( 6.594,  7,  7.475 ) ( 4.530,  5,  5.180 ) ( 5.889,  6,  6.213 ) ( 8.652,  9,  9.321 ) ( 8.794,  9,  9.154 ) ( 4.852,  5,  5.239 ) ( 4.720,  5,  5.468 ) ( 9.758,  10,  10.466 ) 

( 7.811,  8,  8.135 ) ( 8.538,  9,  9.250 ) ( 6.772,  7,  7.460 ) ( 8.532,  9,  9.458 ) ( 9.715,  10,  10.279 ) ( 7.802,  8,  8.409 ) ( 9.874,  10,  10.194 ) ( 6.875,  7,  7.432 ) ( 7.832,  8,  8.495 ) ( 4.888,  5,  5.179 ) ( 8.792,  9,  9.361 ) ( 6.600,  7,  7.314 ) ( 5.585,  6,  6.448 ) ( 6.547,  7,  7.195 ) ( 6.584,  7,  7.195 ) ( 5.839,  6,  6.105 ) ( 7.770,  8,  8.123 ) ( 9.745,  10,  10.358 ) ( 8.518,  9,  9.222 ) ( 9.684,  10,  10.267 ) ( 8.598,  9,  9.413 ) ( 7.824,  8,  8.428 ) ( 7.893,  8,  8.201 ) ( 5.640,  6,  6.175 ) ( 7.804,  8,  8.372 ) ( 9.745,  10,  10.304 ) ( 7.768,  8,  8.155 ) ( 9.882,  10,  10.147 ) ( 7.897,  8,  8.470 ) ( 5.758,  6,  6.419 ) ( 7.834,  8,  8.303 ) ( 8.577,  9,  9.295 ) ( 9.674,  10,  10.178 ) ( 7.847,  8,  8.308 ) ( 4.700,  5,  5.368 ) ( 9.525,  10,  10.202 ) ( 8.718,  9,  9.151 ) ( 9.870,  10,  10.289 ) ( 9.748,  10,  10.389 ) ( 6.636,  7,  7.349 ) ( 8.739,  9,  9.119 ) ( 7.847,  8,  8.393 ) ( 6.827,  7,  7.170 ) ( 9.560,  10,  10.176 ) ( 7.859,  8,  8.182 ) ( 9.505,  10,  10.206 ) ( 4.615,  5,  5.418 ) ( 4.599,  5,  5.211 ) ( 8.504,  9,  9.454 ) ( 9.581,  10,  10.296 ) ( 8.677,  9,  9.394 ) ( 7.602,  8,  8.105 ) ( 4.555,  5,  5.428 ) ( 9.707,  10,  10.198 ) ( 6.683,  7,  7.157 ) ( 5.554,  6,  6.478 ) ( 6.824,  7,  7.499 ) ( 7.630,  8,  8.249 ) ( 5.831,  6,  6.310 ) ( 9.674,  10,  10.210 ) ( 9.608,  10,  10.321 ) ( 8.684,  9,  9.277 ) ( 6.761,  7,  7.217 ) ( 6.612,  7,  7.235 ) ( 5.829,  6,  6.307 ) ( 6.569,  7,  7.394 ) ( 5.799,  6,  6.329 ) ( 8.601,  9,  9.147 ) ( 6.743,  7,  7.192 ) ( 8.756,  9,  9.474 ) ( 4.750,  5,  5.191 ) ( 8.549,  9,  9.326 ) ( 9.810,  10,  10.322 ) ( 6.525,  7,  7.259 ) ( 7.868,  8,  8.301 ) ( 7.631,  8,  8.425 ) ( 9.879,  10,  10.185 ) ( 5.798,  6,  6.260 ) ( 7.698,  8,  8.489 ) ( 8.605,  9,  9.373 ) ( 8.704,  9,  9.326 ) ( 9.733,  10,  10.397 ) ( 9.844,  10,  10.166 ) ( 8.556,  9,  9.313 ) ( 9.742,  10,  10.188 ) ( 9.713,  10,  10.408 ) ( 4.721,  5,  5.238 ) ( 5.766,  6,  6.369 ) ( 6.540,  7,  7.209 ) ( 5.872,  6,  6.492 ) ( 9.590,  10,  10.397 ) ( 5.583,  6,  6.431 ) ( 7.518,  8,  8.118 ) ( 5.809,  6,  6.284 ) ( 6.892,  7,  7.486 ) ( 6.843,  7,  7.304 ) ( 7.688,  8,  8.324 ) ( 7.799,  8,  8.368 ) ( 4.609,  5,  5.145 ) ( 7.819,  8,  8.149 ) 

( 6.766,  7,  7.367 ) ( 8.543,  9,  9.413 ) ( 5.894,  6,  6.190 ) ( 5.718,  6,  6.466 ) ( 9.701,  10,  10.310 ) ( 6.542,  7,  7.209 ) ( 6.793,  7,  7.375 ) ( 8.860,  9,  9.189 ) ( 8.607,  9,  9.231 ) ( 8.628,  9,  9.401 ) ( 4.783,  5,  5.429 ) ( 4.795,  5,  5.429 ) ( 7.747,  8,  8.306 ) ( 7.703,  8,  8.144 ) ( 9.648,  10,  10.378 ) ( 4.807,  5,  5.485 ) ( 6.754,  7,  7.150 ) ( 7.602,  8,  8.251 ) ( 4.760,  5,  5.180 ) ( 9.783,  10,  10.439 ) ( 6.610,  7,  7.175 ) ( 9.852,  10,  10.497 ) ( 8.550,  9,  9.188 ) ( 9.814,  10,  10.343 ) ( 8.681,  9,  9.458 ) ( 4.755,  5,  5.436 ) ( 9.613,  10,  10.350 ) ( 9.635,  10,  10.141 ) ( 6.844,  7,  7.163 ) ( 8.815,  9,  9.408 ) ( 7.559,  8,  8.278 ) ( 6.607,  7,  7.186 ) ( 4.673,  5,  5.291 ) ( 6.662,  7,  7.467 ) ( 5.628,  6,  6.455 ) ( 7.593,  8,  8.262 ) ( 7.870,  8,  8.455 ) ( 8.740,  9,  9.480 ) ( 6.857,  7,  7.346 ) ( 9.677,  10,  10.362 ) ( 6.696,  7,  7.468 ) ( 4.702,  5,  5.191 ) ( 9.682,  10,  10.163 ) ( 7.768,  8,  8.374 ) ( 8.774,  9,  9.317 ) ( 6.719,  7,  7.166 ) ( 8.505,  9,  9.174 ) ( 8.747,  9,  9.322 ) ( 9.634,  10,  10.490 ) ( 8.710,  9,  9.237 ) ( 7.555,  8,  8.196 ) ( 5.601,  6,  6.475 ) ( 5.849,  6,  6.159 ) ( 4.546,  5,  5.194 ) ( 8.595,  9,  9.278 ) ( 9.544,  10,  10.209 ) ( 4.754,  5,  5.254 ) ( 6.700,  7,  7.463 ) ( 8.683,  9,  9.433 ) ( 4.663,  5,  5.442 ) ( 4.750,  5,  5.118 ) ( 9.891,  10,  10.245 ) ( 6.808,  7,  7.261 ) ( 8.533,  9,  9.458 ) ( 4.748,  5,  5.257 ) ( 6.805,  7,  7.197 ) ( 6.647,  7,  7.494 ) ( 7.829,  8,  8.404 ) ( 4.847,  5,  5.126 ) ( 6.501,  7,  7.458 ) ( 4.697,  5,  5.455 ) ( 4.833,  5,  5.449 ) ( 6.792,  7,  7.367 ) ( 9.588,  10,  10.425 ) ( 7.700,  8,  8.249 ) ( 8.633,  9,  9.450 ) ( 6.733,  7,  7.376 ) ( 9.806,  10,  10.360 ) ( 7.863,  8,  8.161 ) ( 9.683,  10,  10.289 ) ( 7.682,  8,  8.412 ) ( 8.615,  9,  9.171 ) ( 5.593,  6,  6.457 ) ( 6.525,  7,  7.460 ) ( 8.518,  9,  9.473 ) ( 7.582,  8,  8.286 ) ( 5.572,  6,  6.485 ) ( 9.765,  10,  10.137 ) ( 9.648,  10,  10.148 ) ( 8.538,  9,  9.152 ) ( 7.703,  8,  8.329 ) ( 7.898,  8,  8.464 ) ( 5.795,  6,  6.196 ) ( 4.676,  5,  5.242 ) ( 6.743,  7,  7.141 ) ( 5.569,  6,  6.475 ) ( 6.547,  7,  7.317 ) ( 6.854,  7,  7.360 ) ( 6.727,  7,  7.121 ) ( 4.680,  5,  5.256 ) 

( 8.506,  9,  9.239 ) ( 6.558,  7,  7.422 ) ( 4.776,  5,  5.177 ) ( 4.541,  5,  5.476 ) ( 4.776,  5,  5.421 ) ( 5.871,  6,  6.421 ) ( 7.750,  8,  8.130 ) ( 4.614,  5,  5.355 ) ( 5.773,  6,  6.209 ) ( 4.503,  5,  5.384 ) ( 9.750,  10,  10.428 ) ( 6.641,  7,  7.204 ) ( 8.755,  9,  9.405 ) ( 8.536,  9,  9.419 ) ( 7.575,  8,  8.284 ) ( 7.826,  8,  8.420 ) ( 6.577,  7,  7.116 ) ( 6.658,  7,  7.147 ) ( 4.807,  5,  5.301 ) ( 9.877,  10,  10.318 ) ( 4.779,  5,  5.152 ) ( 7.761,  8,  8.371 ) ( 5.818,  6,  6.124 ) ( 4.774,  5,  5.309 ) ( 5.766,  6,  6.223 ) ( 5.807,  6,  6.384 ) ( 9.849,  10,  10.452 ) ( 5.512,  6,  6.297 ) ( 7.644,  8,  8.452 ) ( 6.785,  7,  7.282 ) ( 5.764,  6,  6.289 ) ( 5.798,  6,  6.159 ) ( 6.694,  7,  7.444 ) ( 9.794,  10,  10.399 ) ( 9.756,  10,  10.229 ) ( 4.784,  5,  5.366 ) ( 9.719,  10,  10.355 ) ( 6.763,  7,  7.364 ) ( 4.620,  5,  5.362 ) ( 8.828,  9,  9.113 ) ( 4.515,  5,  5.265 ) ( 8.602,  9,  9.136 ) ( 8.783,  9,  9.386 ) ( 9.667,  10,  10.473 ) ( 6.662,  7,  7.448 ) ( 5.745,  6,  6.474 ) ( 4.763,  5,  5.357 ) ( 6.867,  7,  7.443 ) ( 8.700,  9,  9.240 ) ( 4.658,  5,  5.445 ) ( 6.631,  7,  7.458 ) ( 6.690,  7,  7.150 ) ( 5.687,  6,  6.447 ) ( 7.586,  8,  8.193 ) ( 6.691,  7,  7.486 ) ( 5.794,  6,  6.294 ) ( 8.749,  9,  9.104 ) ( 6.670,  7,  7.368 ) ( 6.610,  7,  7.163 ) ( 9.659,  10,  10.227 ) ( 6.889,  7,  7.497 ) ( 6.799,  7,  7.249 ) ( 4.647,  5,  5.235 ) ( 6.808,  7,  7.154 ) ( 9.626,  10,  10.434 ) ( 7.502,  8,  8.243 ) ( 7.608,  8,  8.308 ) ( 8.707,  9,  9.205 ) ( 4.745,  5,  5.207 ) ( 5.702,  6,  6.464 ) ( 6.807,  7,  7.404 ) ( 8.742,  9,  9.344 ) ( 9.592,  10,  10.488 ) ( 9.787,  10,  10.298 ) ( 7.848,  8,  8.454 ) ( 6.575,  7,  7.163 ) ( 4.549,  5,  5.126 ) ( 5.688,  6,  6.304 ) ( 8.739,  9,  9.404 ) ( 8.642,  9,  9.136 ) ( 9.662,  10,  10.356 ) ( 8.721,  9,  9.230 ) ( 5.836,  6,  6.472 ) ( 5.665,  6,  6.319 ) ( 9.821,  10,  10.133 ) ( 5.717,  6,  6.273 ) ( 6.563,  7,  7.441 ) ( 5.883,  6,  6.345 ) ( 5.570,  6,  6.230 ) ( 6.857,  7,  7.482 ) ( 4.816,  5,  5.467 ) ( 7.855,  8,  8.134 ) ( 8.506,  9,  9.357 ) ( 8.662,  9,  9.255 ) ( 8.739,  9,  9.196 ) ( 6.709,  7,  7.499 ) ( 6.548,  7,  7.470 ) ( 5.771,  6,  6.116 ) ( 4.558,  5,  5.464 ) ( 4.665,  5,  5.121 ) 

( 4.503,  5,  5.118 ) ( 5.706,  6,  6.434 ) ( 8.540,  9,  9.311 ) ( 4.721,  5,  5.389 ) ( 4.559,  5,  5.322 ) ( 4.629,  5,  5.125 ) ( 4.711,  5,  5.416 ) ( 4.841,  5,  5.283 ) ( 5.727,  6,  6.397 ) ( 6.562,  7,  7.434 ) ( 7.507,  8,  8.229 ) ( 5.567,  6,  6.445 ) ( 5.802,  6,  6.162 ) ( 6.540,  7,  7.140 ) ( 4.874,  5,  5.295 ) ( 4.838,  5,  5.123 ) ( 5.686,  6,  6.356 ) ( 4.542,  5,  5.273 ) ( 6.833,  7,  7.237 ) ( 7.837,  8,  8.108 ) ( 6.541,  7,  7.433 ) ( 4.867,  5,  5.248 ) ( 4.651,  5,  5.192 ) ( 9.569,  10,  10.122 ) ( 9.511,  10,  10.370 ) ( 8.544,  9,  9.483 ) ( 5.502,  6,  6.389 ) ( 5.573,  6,  6.197 ) ( 7.549,  8,  8.388 ) ( 9.763,  10,  10.477 ) ( 9.817,  10,  10.299 ) ( 8.899,  9,  9.397 ) ( 4.846,  5,  5.458 ) ( 7.830,  8,  8.221 ) ( 6.805,  7,  7.233 ) ( 8.770,  9,  9.154 ) ( 5.834,  6,  6.263 ) ( 6.698,  7,  7.415 ) ( 7.645,  8,  8.234 ) ( 7.563,  8,  8.344 ) ( 8.897,  9,  9.392 ) ( 4.673,  5,  5.102 ) ( 6.719,  7,  7.254 ) ( 7.802,  8,  8.232 ) ( 4.858,  5,  5.335 ) ( 6.791,  7,  7.225 ) ( 6.866,  7,  7.209 ) ( 5.878,  6,  6.188 ) ( 6.832,  7,  7.192 ) ( 6.691,  7,  7.263 ) ( 8.675,  9,  9.439 ) ( 6.683,  7,  7.391 ) ( 6.799,  7,  7.119 ) ( 7.694,  8,  8.456 ) ( 5.747,  6,  6.242 ) ( 5.700,  6,  6.256 ) ( 9.866,  10,  10.127 ) ( 6.742,  7,  7.315 ) ( 4.719,  5,  5.356 ) ( 7.553,  8,  8.323 ) ( 6.809,  7,  7.155 ) ( 9.552,  10,  10.225 ) ( 9.735,  10,  10.470 ) ( 4.688,  5,  5.332 ) ( 5.839,  6,  6.122 ) ( 9.505,  10,  10.386 ) ( 9.539,  10,  10.312 ) ( 6.723,  7,  7.162 ) ( 5.669,  6,  6.482 ) ( 6.882,  7,  7.484 ) ( 7.776,  8,  8.319 ) ( 7.760,  8,  8.259 ) ( 4.654,  5,  5.398 ) ( 9.526,  10,  10.127 ) ( 5.747,  6,  6.420 ) ( 4.650,  5,  5.344 ) ( 9.524,  10,  10.298 ) ( 5.531,  6,  6.240 ) ( 9.733,  10,  10.281 ) ( 5.527,  6,  6.329 ) ( 7.697,  8,  8.468 ) ( 8.785,  9,  9.264 ) ( 8.720,  9,  9.391 ) ( 9.674,  10,  10.111 ) ( 9.626,  10,  10.344 ) ( 7.506,  8,  8.498 ) ( 9.837,  10,  10.234 ) ( 8.743,  9,  9.409 ) ( 4.868,  5,  5.231 ) ( 9.564,  10,  10.286 ) ( 9.849,  10,  10.286 ) ( 4.870,  5,  5.127 ) ( 7.516,  8,  8.499 ) ( 8.733,  9,  9.252 ) ( 4.720,  5,  5.240 ) ( 6.520,  7,  7.483 ) ( 7.792,  8,  8.195 ) ( 7.753,  8,  8.387 ) ( 6.513,  7,  7.473 ) ( 6.602,  7,  7.360 ) 

