

				----* Random 50 DIMENSION Matrix *----


( 5.685,  6,  6.397 ) ( 8.645,  9,  9.137 ) ( 7.727,  8,  8.293 ) ( 5.679,  6,  6.232 ) ( 9.809,  10,  10.225 ) ( 5.556,  6,  6.217 ) ( 8.502,  9,  9.145 ) ( 4.502,  5,  5.461 ) ( 7.600,  8,  8.121 ) ( 5.509,  6,  6.423 ) ( 6.530,  7,  7.287 ) ( 5.566,  6,  6.209 ) ( 6.508,  7,  7.475 ) ( 5.869,  6,  6.268 ) ( 9.543,  10,  10.167 ) ( 8.835,  9,  9.272 ) ( 4.536,  5,  5.420 ) ( 4.691,  5,  5.237 ) ( 8.787,  9,  9.130 ) ( 8.631,  9,  9.304 ) ( 9.745,  10,  10.313 ) ( 6.580,  7,  7.253 ) ( 7.642,  8,  8.418 ) ( 7.785,  8,  8.258 ) ( 6.561,  7,  7.206 ) ( 6.819,  7,  7.409 ) ( 6.607,  7,  7.115 ) ( 5.882,  6,  6.385 ) ( 5.510,  6,  6.149 ) ( 5.848,  6,  6.447 ) ( 9.784,  10,  10.218 ) ( 4.781,  5,  5.180 ) ( 4.862,  5,  5.428 ) ( 4.682,  5,  5.251 ) ( 9.542,  10,  10.187 ) ( 7.545,  8,  8.213 ) ( 5.600,  6,  6.375 ) ( 8.634,  9,  9.258 ) ( 5.707,  6,  6.480 ) ( 8.584,  9,  9.232 ) ( 7.814,  8,  8.497 ) ( 7.859,  8,  8.479 ) ( 7.888,  8,  8.159 ) ( 9.636,  10,  10.102 ) ( 6.792,  7,  7.417 ) ( 5.551,  6,  6.325 ) ( 6.865,  7,  7.168 ) ( 6.595,  7,  7.173 ) ( 9.505,  10,  10.223 ) ( 4.676,  5,  5.453 ) 

( 9.690,  10,  10.279 ) ( 8.834,  9,  9.210 ) ( 5.847,  6,  6.431 ) ( 6.632,  7,  7.346 ) ( 6.588,  7,  7.284 ) ( 7.521,  8,  8.498 ) ( 6.719,  7,  7.119 ) ( 6.523,  7,  7.293 ) ( 8.822,  9,  9.342 ) ( 5.705,  6,  6.287 ) ( 7.742,  8,  8.245 ) ( 7.888,  8,  8.293 ) ( 6.687,  7,  7.417 ) ( 7.634,  8,  8.308 ) ( 6.860,  7,  7.190 ) ( 9.739,  10,  10.350 ) ( 8.632,  9,  9.327 ) ( 7.541,  8,  8.422 ) ( 5.742,  6,  6.327 ) ( 9.732,  10,  10.170 ) ( 4.889,  5,  5.247 ) ( 7.832,  8,  8.292 ) ( 4.734,  5,  5.146 ) ( 7.515,  8,  8.345 ) ( 6.613,  7,  7.281 ) ( 7.869,  8,  8.146 ) ( 6.575,  7,  7.143 ) ( 6.661,  7,  7.238 ) ( 7.541,  8,  8.204 ) ( 6.554,  7,  7.499 ) ( 5.706,  6,  6.207 ) ( 4.651,  5,  5.162 ) ( 4.566,  5,  5.308 ) ( 6.516,  7,  7.192 ) ( 6.865,  7,  7.253 ) ( 4.738,  5,  5.146 ) ( 7.600,  8,  8.331 ) ( 9.662,  10,  10.166 ) ( 6.624,  7,  7.323 ) ( 5.590,  6,  6.264 ) ( 4.896,  5,  5.442 ) ( 4.691,  5,  5.429 ) ( 6.516,  7,  7.148 ) ( 4.834,  5,  5.444 ) ( 5.748,  6,  6.112 ) ( 8.557,  9,  9.446 ) ( 8.781,  9,  9.292 ) ( 4.891,  5,  5.152 ) ( 4.500,  5,  5.493 ) ( 9.756,  10,  10.135 ) 

( 7.754,  8,  8.407 ) ( 8.819,  9,  9.145 ) ( 6.763,  7,  7.419 ) ( 8.789,  9,  9.114 ) ( 9.758,  10,  10.121 ) ( 7.723,  8,  8.246 ) ( 9.537,  10,  10.487 ) ( 6.825,  7,  7.447 ) ( 7.865,  8,  8.241 ) ( 4.609,  5,  5.287 ) ( 8.747,  9,  9.334 ) ( 6.767,  7,  7.372 ) ( 5.875,  6,  6.242 ) ( 6.576,  7,  7.125 ) ( 6.765,  7,  7.169 ) ( 5.840,  6,  6.381 ) ( 7.525,  8,  8.242 ) ( 9.573,  10,  10.213 ) ( 8.839,  9,  9.138 ) ( 9.774,  10,  10.303 ) ( 8.841,  9,  9.404 ) ( 7.551,  8,  8.122 ) ( 7.609,  8,  8.124 ) ( 5.531,  6,  6.425 ) ( 7.735,  8,  8.360 ) ( 9.788,  10,  10.418 ) ( 7.806,  8,  8.345 ) ( 9.710,  10,  10.219 ) ( 7.512,  8,  8.214 ) ( 5.755,  6,  6.223 ) ( 7.718,  8,  8.305 ) ( 8.896,  9,  9.258 ) ( 9.553,  10,  10.431 ) ( 7.630,  8,  8.108 ) ( 4.531,  5,  5.497 ) ( 9.689,  10,  10.128 ) ( 8.599,  9,  9.261 ) ( 9.850,  10,  10.291 ) ( 9.716,  10,  10.119 ) ( 6.784,  7,  7.449 ) ( 8.620,  9,  9.329 ) ( 7.633,  8,  8.474 ) ( 6.826,  7,  7.157 ) ( 9.807,  10,  10.162 ) ( 7.729,  8,  8.338 ) ( 9.715,  10,  10.453 ) ( 4.857,  5,  5.289 ) ( 4.790,  5,  5.490 ) ( 8.780,  9,  9.481 ) ( 9.502,  10,  10.189 ) 

( 8.523,  9,  9.309 ) ( 7.783,  8,  8.378 ) ( 4.530,  5,  5.267 ) ( 9.831,  10,  10.254 ) ( 6.714,  7,  7.286 ) ( 5.797,  6,  6.166 ) ( 6.886,  7,  7.471 ) ( 7.860,  8,  8.188 ) ( 5.872,  6,  6.233 ) ( 9.750,  10,  10.298 ) ( 9.529,  10,  10.435 ) ( 8.749,  9,  9.114 ) ( 6.776,  7,  7.362 ) ( 6.896,  7,  7.344 ) ( 5.658,  6,  6.102 ) ( 6.567,  7,  7.320 ) ( 5.689,  6,  6.149 ) ( 8.802,  9,  9.280 ) ( 6.684,  7,  7.267 ) ( 8.566,  9,  9.102 ) ( 4.547,  5,  5.138 ) ( 8.832,  9,  9.467 ) ( 9.892,  10,  10.207 ) ( 6.845,  7,  7.136 ) ( 7.660,  8,  8.306 ) ( 7.666,  8,  8.311 ) ( 9.759,  10,  10.485 ) ( 5.675,  6,  6.365 ) ( 7.654,  8,  8.328 ) ( 8.791,  9,  9.189 ) ( 8.670,  9,  9.141 ) ( 9.592,  10,  10.141 ) ( 9.810,  10,  10.106 ) ( 8.679,  9,  9.406 ) ( 9.727,  10,  10.255 ) ( 9.592,  10,  10.226 ) ( 4.708,  5,  5.476 ) ( 5.807,  6,  6.300 ) ( 6.817,  7,  7.248 ) ( 5.664,  6,  6.423 ) ( 9.546,  10,  10.170 ) ( 5.766,  6,  6.194 ) ( 7.845,  8,  8.459 ) ( 5.541,  6,  6.401 ) ( 6.713,  7,  7.167 ) ( 6.510,  7,  7.117 ) ( 7.792,  8,  8.398 ) ( 7.842,  8,  8.298 ) ( 4.596,  5,  5.379 ) ( 7.796,  8,  8.177 ) 

( 6.867,  7,  7.112 ) ( 8.697,  9,  9.326 ) ( 5.512,  6,  6.395 ) ( 5.874,  6,  6.171 ) ( 9.857,  10,  10.362 ) ( 6.505,  7,  7.497 ) ( 6.568,  7,  7.229 ) ( 8.809,  9,  9.487 ) ( 8.812,  9,  9.150 ) ( 8.612,  9,  9.375 ) ( 4.783,  5,  5.378 ) ( 4.607,  5,  5.325 ) ( 7.724,  8,  8.451 ) ( 7.876,  8,  8.180 ) ( 9.671,  10,  10.228 ) ( 4.743,  5,  5.363 ) ( 6.760,  7,  7.460 ) ( 7.812,  8,  8.229 ) ( 4.645,  5,  5.215 ) ( 9.700,  10,  10.398 ) ( 6.523,  7,  7.295 ) ( 9.606,  10,  10.409 ) ( 8.576,  9,  9.485 ) ( 9.604,  10,  10.112 ) ( 8.865,  9,  9.285 ) ( 4.613,  5,  5.252 ) ( 9.837,  10,  10.280 ) ( 9.523,  10,  10.339 ) ( 6.769,  7,  7.100 ) ( 8.581,  9,  9.460 ) ( 7.772,  8,  8.176 ) ( 6.677,  7,  7.369 ) ( 4.864,  5,  5.411 ) ( 6.503,  7,  7.391 ) ( 5.874,  6,  6.297 ) ( 7.711,  8,  8.103 ) ( 7.508,  8,  8.183 ) ( 8.588,  9,  9.416 ) ( 6.832,  7,  7.309 ) ( 9.572,  10,  10.203 ) ( 6.506,  7,  7.315 ) ( 4.645,  5,  5.156 ) ( 9.505,  10,  10.331 ) ( 7.605,  8,  8.226 ) ( 8.668,  9,  9.314 ) ( 6.814,  7,  7.460 ) ( 8.610,  9,  9.409 ) ( 8.671,  9,  9.426 ) ( 9.680,  10,  10.326 ) ( 8.683,  9,  9.346 ) 

