

				----* 100 x 100 Matrix *----


	  Iteration :  41191 | Best Fitness : 554.933 | Optimum : 99999 


PATH:

25  27  78  72  67  98  55  90  0  89  59  95  51  28  2  68  36  79  48  56  58  12  32  82  43  96  46  14  45  57  86  5  8  40  81  66  33  18  62  52  26  38  21  88  31  9  1  91  3  49  39  77  22  53  92  64  16  24  30  23  93  47  10  83  37  85  7  60  63  99  61  69  87  80  71  74  94  76  41  6  42  50  11  70  73  35  97  4  44  29  65  15  54  20  75  17  34  19  84  13  


================================



  BAT 1 : 	608.167  
  BAT 2 : 	586.598  
  BAT 3 : 	596.116  
  BAT 4 : 	610.140  
  BAT 5 : 	601.004  
  BAT 6 : 	593.934  
  BAT 7 : 	596.442  
  BAT 8 : 	591.413  
  BAT 9 : 	613.306  
  BAT 10 : 	602.387  
  BAT 11 : 	611.624  
  BAT 12 : 	619.728  
  BAT 13 : 	609.953  
  BAT 14 : 	581.611  
  BAT 15 : 	586.377  
  BAT 16 : 	577.819  
  BAT 17 : 	584.759  
  BAT 18 : 	609.188  
  BAT 19 : 	613.416  
  BAT 20 : 	602.074  
  BAT 21 : 	617.269  
  BAT 22 : 	584.205  
  BAT 23 : 	602.213  
  BAT 24 : 	609.222  
  BAT 25 : 	600.690  
  BAT 26 : 	600.399  
  BAT 27 : 	585.110  
  BAT 28 : 	614.676  
  BAT 29 : 	604.497  
  BAT 30 : 	616.889  
  BAT 31 : 	598.018  
  BAT 32 : 	586.207  
  BAT 33 : 	561.859  
  BAT 34 : 	624.802  
  BAT 35 : 	562.097  
  BAT 36 : 	591.530  
  BAT 37 : 	602.246  
  BAT 38 : 	591.003  
  BAT 39 : 	554.933  
  BAT 40 : 	619.814  
  BAT 41 : 	613.125  
  BAT 42 : 	628.723  
  BAT 43 : 	587.586  
  BAT 44 : 	567.933  
  BAT 45 : 	762.294  
  BAT 46 : 	761.411  
  BAT 47 : 	754.281  
  BAT 48 : 	745.055  
  BAT 49 : 	747.860  
  BAT 50 : 	751.353  
