

				----* 150 x 150 Matrix *----


	  Iteration :    111 | Best Fitness : 834.785 | Optimum : 99999 


PATH:

119  122  40  139  118  134  75  35  142  57  48  87  67  128  2  7  84  127  76  30  106  21  50  148  107  10  55  66  149  101  70  46  69  126  24  72  32  34  83  143  104  12  52  64  116  125  89  80  11  22  0  31  97  141  102  61  9  145  60  112  45  14  41  28  124  117  8  93  1  146  74  95  38  17  63  114  18  90  6  20  120  58  129  54  23  85  79  132  56  77  92  138  110  59  33  78  37  144  98  27  111  113  49  135  137  13  99  130  36  121  16  140  91  42  136  94  47  108  86  19  109  3  25  39  81  43  133  105  71  15  100  68  5  4  131  96  115  147  62  88  123  51  73  65  44  82  103  53  29  26  


================================



  BAT 1 : 	905.176  
  BAT 2 : 	981.613  
  BAT 3 : 	922.085  
  BAT 4 : 	873.480  
  BAT 5 : 	859.465  
  BAT 6 : 	931.947  
  BAT 7 : 	896.483  
  BAT 8 : 	945.630  
  BAT 9 : 	925.333  
  BAT 10 : 	937.282  
  BAT 11 : 	876.254  
  BAT 12 : 	834.785  
  BAT 13 : 	891.396  
  BAT 14 : 	927.762  
  BAT 15 : 	870.065  
  BAT 16 : 	918.412  
  BAT 17 : 	915.874  
  BAT 18 : 	933.548  
  BAT 19 : 	964.733  
  BAT 20 : 	918.253  
  BAT 21 : 	875.202  
  BAT 22 : 	895.865  
  BAT 23 : 	984.637  
  BAT 24 : 	961.624  
  BAT 25 : 	906.855  
  BAT 26 : 	888.085  
  BAT 27 : 	921.190  
  BAT 28 : 	859.112  
  BAT 29 : 	937.981  
  BAT 30 : 	955.950  
  BAT 31 : 	870.783  
  BAT 32 : 	993.867  
  BAT 33 : 	889.085  
  BAT 34 : 	839.661  
  BAT 35 : 	931.303  
  BAT 36 : 	935.587  
  BAT 37 : 	881.765  
  BAT 38 : 	914.896  
  BAT 39 : 	929.970  
  BAT 40 : 	896.580  
  BAT 41 : 	939.032  
  BAT 42 : 	883.566  
  BAT 43 : 	941.989  
  BAT 44 : 	946.654  
  BAT 45 : 	945.481  
  BAT 46 : 	921.353  
  BAT 47 : 	877.425  
  BAT 48 : 	917.657  
  BAT 49 : 	983.007  
  BAT 50 : 	961.240  
