

				----* 5 x 5 Matrix *----


	  Iteration :     14 | Best Fitness : 31.993 | Optimum : 99999 


PATH:

4  2  0  3  1  


================================



  BAT 1 : 	31.993  
  BAT 2 : 	31.993  
  BAT 3 : 	31.993  
  BAT 4 : 	31.993  
  BAT 5 : 	31.993  
  BAT 6 : 	31.993  
  BAT 7 : 	31.993  
  BAT 8 : 	31.993  
  BAT 9 : 	31.993  
  BAT 10 : 	31.993  
  BAT 11 : 	31.993  
  BAT 12 : 	31.993  
  BAT 13 : 	31.993  
  BAT 14 : 	31.993  
  BAT 15 : 	31.993  
  BAT 16 : 	31.993  
  BAT 17 : 	31.993  
  BAT 18 : 	31.993  
  BAT 19 : 	31.993  
  BAT 20 : 	31.993  
  BAT 21 : 	31.993  
  BAT 22 : 	31.993  
  BAT 23 : 	31.993  
  BAT 24 : 	31.993  
  BAT 25 : 	31.993  
  BAT 26 : 	31.993  
  BAT 27 : 	31.993  
  BAT 28 : 	31.993  
  BAT 29 : 	31.993  
  BAT 30 : 	31.993  
  BAT 31 : 	31.993  
  BAT 32 : 	31.993  
  BAT 33 : 	31.993  
  BAT 34 : 	31.993  
  BAT 35 : 	31.993  
  BAT 36 : 	31.993  
  BAT 37 : 	31.993  
  BAT 38 : 	31.993  
  BAT 39 : 	31.993  
  BAT 40 : 	31.993  
  BAT 41 : 	31.993  
  BAT 42 : 	31.993  
  BAT 43 : 	31.993  
  BAT 44 : 	31.993  
  BAT 45 : 	40.858  
  BAT 46 : 	35.078  
  BAT 47 : 	37.142  
  BAT 48 : 	38.000  
  BAT 49 : 	40.858  
  BAT 50 : 	35.007  
